"Use the following code to show Who Bought This Also Bought Block in any places which you want on Product Pages, Category Pages","Use the following code to show Who Bought This Also Bought Block in any places which you want on Product Pages, Category Pages"
"CMS Page/Static Block","CMS Page/Static Block"
"Template .phtml file","Template .phtml file"
"Layout file","Layout file"
"Also Bought Logs","Also Bought Logs"
"Main Content Top","Main Content Top"
"Main Content Bottom","Main Content Bottom"
"Before Cross-sells Products Block","Before Cross-sells Products Block"
"After Cross-sells Products Block","After Cross-sells Products Block"
"Sidebar Main Top","Sidebar Main Top"
"Sidebar Main Bottom","Sidebar Main Bottom"
"Product Slider","Product Slider"
"Multiple Lines","Multiple Lines"
"Before Native Related Products Block","Before Native Related Products Block"
"After Native Related Products Block","After Native Related Products Block"
"Before Up-sells Products Block","Before Up-sells Products Block"
"After Up-sells Products Block","After Up-sells Products Block"
"Before Information Tab","Before Information Tab"
Manually,Manually
Price,Price
"Add to cart","Add to cart"
Review,Review
"Add to Wish List & Add to Compare","Add to Wish List & Add to Compare"
Order,Order
Customer,Customer
"We found updated rules that are not applied. Please run command ""php bin/magento alsobought:reindex-all"" to update your Who Bought This Also Bought data.","We found updated rules that are not applied. Please run command ""php bin/magento alsobought:reindex-all"" to update your Who Bought This Also Bought data."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Who Bought This Item Also Bought","Who Bought This Item Also Bought"
"General Configuration","General Configuration"
Enable,Enable
"Select Yes to enable this module.","Select Yes to enable this module."
"Calculate Related Product Base On","Calculate Related Product Base On"
"Require reindex data to apply changes","Require reindex data to apply changes"
"Process Order With Status","Process Order With Status"
"Select the order status which the module uses to suggest the products displayed in the block. Require reindex data to apply changes","Select the order status which the module uses to suggest the products displayed in the block. Require reindex data to apply changes"
"Suggest for free Items","Suggest for free Items"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Time in seconds between the block data updates.
                        <br/>If not set, equals to 86400 seconds (24 hours).","Time in seconds between the block data updates.
                        <br/>If not set, equals to 86400 seconds (24 hours)."
"Display on Product Page","Display on Product Page"
Enabled,Enabled
"Select Yes to display the block on the Product Page","Select Yes to display the block on the Product Page"
"Title of block","Title of block"
"Enter the block’s name. E.g: Who bought this item also bought","Enter the block’s name. E.g: Who bought this item also bought"
Position,Position
"Select the position of the page where the block appears","Select the position of the page where the block appears"
Layout,Layout
"Select the layout of suggested products in the frontend","Select the layout of suggested products in the frontend"
"Show List","Show List"
"Select option(s) above to display them along with products","Select option(s) above to display them along with products"
"Number of products displayed","Number of products displayed"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products)."
"Display on Catalog Page","Display on Catalog Page"
"Select Yes to display the block on the Catalog Page","Select Yes to display the block on the Catalog Page"
"Display on Cart Page","Display on Cart Page"
"Select Yes to display the block on the Cart Page","Select Yes to display the block on the Cart Page"
"Snippet Code","Snippet Code"
"Main Product","Main Product"
"Main Product Qty","Main Product Qty"
"Also Bought","Also Bought"
"Associate Product Qty","Associate Product Qty"
"Total Combo","Total Combo"
